ID,Media,Glc,Nutrient Boost
01,adj,0glc,
02,adj,0glc,
03,adj,0glc,
04,adj,0glc,
05,adj,Glc,
06,adj,Glc,
07,adj,Glc,
08,adj,Glc,
09,adj,Glc,
10,adj,Glc,
11,adj,Glc,
12,adj,Glc,
13,adj,Glc,
14,adj,Glc,
15,adj,Glc,
16,adj,Glc,
17,adj,Glc,
18,adj2x,0glc,
19,adj2x,0glc,
20,adj2x,0glc,
21,adj2x,0glc,
22,adj2x,Glc,
23,adj2x,Glc,
24,adj2x,Glc,
25,adj2x,Glc,
26,adj2x,Glc,
27,adj2x,Glc,
28,adj2x,Glc,
29,adj2x,Glc,
30,adj2x,Glc,
31,adj2x,Glc,
32,adj2x,Glc,
33,adj2x,Glc,
34,adj2x,Glc,
35,adj2x,Glc,
36,adj3x,0glc,
37,adj3x,0glc,
38,adj3x,0glc,
39,adj3x,0glc,
40,adj3x,Glc,
41,adj3x,Glc,
42,adj3x,Glc,
43,adj3x,Glc,
44,adj3x,Glc,
45,adj3x,Glc,
46,adj3x,Glc,
47,adj3x,Glc,
48,adj3x,Glc,
49,adj3x,Glc,
50,adj3x,Glc,
51,adj3x,Glc,
52,adj3x,Glc,
53,adj3x,Glc,
54,adj3x,Glc,
2xadj,adj2x,0glc,
adj,adj,0glc,
3xadj,adj3x,0glc,
60,adj2x,Glc,Nutrient Boost
61,adj2x,Glc,Nutrient Boost
62,adj2x,Glc,Nutrient Boost
63,adj2x,Glc,Nutrient Boost
64,adj2x,Glc,Nutrient Boost
65,adj2x,Glc,Nutrient Boost
66,adj2x,Glc,Nutrient Boost
67,adj2x,Glc,Nutrient Boost
68,adj2x,Glc,Nutrient Boost