ID,Date,CellDensity,Mean,P1,P2,P3,TotVol,Day,Media,Glc,Nutrient.Boost
adj,2/25/19,126000,,3.305,,,,0,adj,0glc,
2xadj,2/25/19,110500,,3.328,,,,0,adj2x,0glc,
3xadj,2/25/19,118000,,3.3485,,,,0,adj3x,0glc,
2xadj,2/26/19,344000,3.799657413,3.74585,2.15585,17.6766,14734673.69,1,adj2x,0glc,
3xadj,2/26/19,281000,3.650627722,3.82089,2.21444,0,9020257.478,1,adj3x,0glc,
adj,2/26/19,374000,3.833416043,3.8803,2.36842,10.6632,16959141.19,1,adj,0glc,
2xadj,2/28/19,868000,5.038345392,4.52094,6.9025,2.63271,90186595.97,3,adj2x,0glc,
3xadj,2/28/19,949000,4.882026108,6.20157,3.370025,10.983215,110938000.5,3,adj3x,0glc,
adj,2/28/19,1122000,4.946645437,2.57154,4.68321,7.40689,134029568.7,3,adj,0glc,
2xadj,3/1/19,1644000,4.942753747,3.49077,6.20958,2.13066,173088752.9,4,adj2x,0glc,
3xadj,3/1/19,1404000,4.83889494,3.70208,6.702725,7.91502,146467324.6,4,adj3x,0glc,
adj,3/1/19,1806000,4.813777652,3.44998,6.13701,2.18134,199192052.8,4,adj,0glc,
1,3/2/19,5746000,4.166837661,3.22771,4.123803333,9.471316667,416200479.3,5,adj,0glc,
2,3/2/19,4539333.333,4.42719887,3.3831,8.137576667,2.13066,358593078,5,adj,0glc,
3,3/2/19,3828333.333,4.451859134,3.304873333,8.253848333,2.11821,315819718.9,5,adj,0glc,
18,3/2/19,4384666.667,4.490640668,3.24038,6.95433,4.036913333,367155035.2,5,adj2x,0glc,
19,3/2/19,4007000,4.593237045,3.2626675,7.1274925,4.893955,352110750,5,adj2x,0glc,
20,3/2/19,4091000,4.572096722,3.25305,7.94814,3.548685,355975655.7,5,adj2x,0glc,
36,3/2/19,3871333.333,4.503712114,3.317466667,6.088976667,6.362956667,322877854.3,5,adj3x,0glc,
37,3/2/19,4078000,4.431398012,3.29152,5.05514,8.42927,339253843.5,5,adj3x,0glc,
38,3/2/19,3799000,4.53914512,3.29152,4.96705,5.267515,332015645.7,5,adj3x,0glc,
6,3/2/19,5746000,4.166837661,3.22771,4.123803333,9.471316667,416200479.3,5,adj,Glc,
7,3/2/19,4539333.333,4.42719887,3.3831,8.137576667,2.13066,358593078,5,adj,Glc,
8,3/2/19,3828333.333,4.451859134,3.304873333,8.253848333,2.11821,315819718.9,5,adj,Glc,
25,3/2/19,4384666.667,4.490640668,3.24038,6.95433,4.036913333,367155035.2,5,adj2x,Glc,
26,3/2/19,4007000,4.593237045,3.2626675,7.1274925,4.893955,352110750,5,adj2x,Glc,
26,3/2/19,4091000,4.572096722,3.25305,7.94814,3.548685,355975655.7,5,adj2x,Glc,
,3/2/19,3871333.333,4.503712114,3.317466667,6.088976667,6.362956667,322877854.3,5,adj3x,Glc,
41,3/2/19,4078000,4.431398012,3.29152,5.05514,8.42927,339253843.5,5,adj3x,Glc,
42,3/2/19,3799000,4.53914512,3.29152,4.96705,5.267515,332015645.7,5,adj3x,Glc,
43,3/3/19,7888000,4.232477718,3.5217225,8.47969,8.383775,499364655.9,6,adj,0glc,
3,3/3/19,7004000,4.312511832,3.56021,8.93953,5.490966667,464851311.2,6,adj,0glc,
4,3/3/19,8492000,4.246823522,3.54059,8.877094,4.82568,532038935.2,6,adj,0glc,
5,3/3/19,8499333.333,5.953863383,5.413913333,8.364376667,12.77056667,1346573882,6,adj,Glc,
6,3/3/19,7594000,5.923473352,5.350646667,8.233796667,11.82453333,1183240715,6,adj,Glc,
7,3/3/19,8116000,5.957280318,5.36115,9.886585,9.819735,1290730430,6,adj,Glc,
19,3/3/19,8404000,4.267854041,3.44998,8.663793333,1.363213333,539408379.3,6,adj2x,0glc,
20,3/3/19,8449000,4.19113564,3.37005,8.38118,1.0164,520306726.1,6,adj2x,0glc,
21,3/3/19,9062000,4.215308493,3.49077,8.562553333,8.278483333,564702982.3,6,adj2x,0glc,
22,3/3/19,6929000,6.079316543,5.26736,8.209365,12.757325,1222769025,6,adj2x,Glc,
23,3/3/19,6976000,6.055532001,5.39266,8.33077,12.16525,1215932018,6,adj2x,Glc,
24,3/3/19,7393333.333,6.057307522,5.350646667,8.42927,12.7216,1284280614,6,adj2x,Glc,
37,3/3/19,8721333.333,4.268416651,3.477173333,9.153446667,5.472196667,529231527.7,6,adj3x,0glc,
38,3/3/19,7649000,4.248814506,3.49077,8.63038,2.08115,463429726.9,6,adj3x,0glc,
39,3/3/19,8241000,4.255918495,3.470375,9.04523,2.04482,513320721.4,6,adj3x,0glc,
40,3/3/19,7826000,5.837304815,5.52132,8.73242,7.68127,1140607128,6,adj3x,Glc,
41,3/3/19,7829000,5.814670317,5.36115,8.6808,7.822495,1119431937,6,adj3x,Glc,
42,3/3/19,7482000,5.794188896,5.43542,8.562553333,5.197056667,1084517801,6,adj3x,Glc,
1,3/4/19,10086000,4.496689548,3.74585,9.26039,2.10576,759434150.9,7,adj,0glc,
3,3/4/19,8864000,4.493259583,3.79014,9.04523,2.13066,621362494.6,7,adj,0glc,
10,3/4/19,10950000,7.268527291,8.04211,2.9961,15.7163,2985968742,7,adj,Glc,
18,3/4/19,10332000,4.385091525,3.70208,8.04211,2.13066,673305172.3,7,adj2x,0glc,
19,3/4/19,10758000,4.264998117,3.65882,2.13066,0,625186980,7,adj2x,0glc,
20,3/4/19,12044000,4.398809138,3.74585,8.52894,2.13066,777668562.8,7,adj2x,0glc,
25,3/4/19,13398000,7.135832453,6.996135,9.51593,7.149475,3500501988,7,adj2x,Glc,
26,3/4/19,12280000,7.067793927,7.9017,8.69309,13.26385,3143603824,7,adj2x,Glc,
27,3/4/19,13527000,6.827374263,6.65109,6.82099,10.9814,3168880158,7,adj2x,Glc,
36,3/4/19,9855000,4.506883414,3.83495,2.15585,9.04855,666925999.1,7,adj3x,0glc,
37,3/4/19,10927000,4.466487791,3.79014,7.23529,2.15585,708405934.8,7,adj3x,0glc,
38,3/4/19,9446000,4.449971512,3.812545,2.143255,9.04855,612754744.3,7,adj3x,0glc,
43,3/4/19,10282000,7.466357838,7.995125,6.666225,2.6355,2961487104,7,adj3x,Glc,
44,3/4/19,11743000,7.325136919,7.94814,6.600875,9.68583,3234337491,7,adj3x,Glc,
45,3/4/19,9614000,7.6121402,7.85526,11.1766,2.13066,2845503447,7,adj3x,Glc,
1,3/5/19,13953000,4.496522341,3.74585,7.7181,2.13066,913209950.9,8,adj,0glc,
2,3/5/19,11710000,4.528143798,3.8803,5.0394,1.077925,760683800.9,8,adj,0glc,
3,3/5/19,14787000,4.467932882,3.767995,2.13066,14.90225,969159321,8,adj,0glc,
11,3/5/19,18402000,8.668630619,11.1766,7.8558,2.541665,8272938090,8,adj,Glc,
12,3/5/19,18914000,8.645911698,11.11125,7.583605,9.06732,8510418839,8,adj,Glc,
13,3/5/19,20321000,8.484204629,10.9814,7.538775,2.42543,8648936864,8,adj,Glc,
18,3/5/19,16710000,4.414934883,3.767995,7.67327,2.143255,1025403137,8,adj2x,0glc,
19,3/5/19,14377000,4.460051844,3.903775,7.76561,2.13066,912907511.9,8,adj2x,0glc,
20,3/5/19,16596000,4.340640847,3.74585,4.640455,10.77513,951664243.4,8,adj2x,0glc,
24,3/5/19,20287000,8.55779214,7.857425,11.1128,2.641615,8845969825,8,adj2x,Glc,
25,3/5/19,22890000,8.314115078,9.45058,9.34018,9.04172,9318827502,8,adj2x,Glc,
27,3/5/19,26235000,8.103581031,7.8558,11.0459,9.14867,9816232529,8,adj2x,Glc,
36,3/5/19,13830000,4.707144966,4.091145,7.857425,6.65277,1037159146,8,adj3x,0glc,
37,3/5/19,15186000,4.69902323,4.188465,4.959655,13.3811,1133363965,8,adj3x,0glc,
38,3/5/19,13144000,4.591041212,4.13952,7.408935,2.15585,906102581.7,8,adj3x,0glc,
46,3/5/19,19544000,8.404684536,10.07188,9.90319,6.397525,8219411480,8,adj3x,Glc,
47,3/5/19,19841000,8.374322549,11.04675,5.570785,12.627605,8377556967,8,adj3x,Glc,
48,3/5/19,16320000,8.407786146,11.4424,8.835675,6.54699,7081094850,8,adj3x,Glc,
2,3/6/19,13753333.33,4.855230056,4.3473,14.4088,5.490966667,1075388264,9,adj,0glc,
3,3/6/19,16878000,4.685789175,3.996085,2.143255,13.161,1179731015,9,adj,0glc,
4,3/6/19,21194666.67,4.678306942,4.08313,2.139056667,15.86656667,1449991202,9,adj,0glc,
14,3/6/19,33400000,9.572709885,12.9204,6.189473333,8.54458,20989028534,9,adj,Glc,
15,3/6/19,31554666.67,9.410377475,12.81956667,4.647536667,8.453693333,18810915501,9,adj,Glc,
16,3/6/19,33004000,9.252728682,12.5706,2.18134,18.65265,18907319660,9,adj,Glc,
19,3/6/19,19732000,4.791283321,4.26289,2.143255,5.45845,1471308223,9,adj2x,0glc,
20,3/6/19,21030000,4.563184239,4.043335,2.143255,9.7098,1328446608,9,adj2x,0glc,
22,3/6/19,35434000,9.552354167,11.34705,5.943765,2.61161,21206564452,9,adj2x,Glc,
23,3/6/19,31732000,9.541421488,12.49715,9.99584,2.560045,19352340742,9,adj2x,Glc,
37,3/6/19,17357000,4.875496883,4.54767,2.13066,12.4246,1386905524,9,adj3x,0glc,
38,3/6/19,16557000,4.843986634,4.26289,2.131245,5.5883,1303513866,9,adj3x,0glc,
39,3/6/19,15845000,4.837664608,4.574715,6.09263,1.06533,1209710376,9,adj3x,0glc,
49,3/6/19,13704000,7.478200076,8.04267,4.396305,2.130805,4361423959,9,adj3x,Glc,
50,3/6/19,35976000,9.111600826,10.725535,10.69932,2.106345,20287823991,9,adj3x,Glc,
51,3/6/19,37036000,9.204223401,9.7654,11.42567333,2.530586667,21160640562,9,adj3x,Glc,
60,3/6/19,35770666.67,9.408442824,12.47266667,10.09512667,7.358066667,21538917469,9,adj2x,Glc,Nutrient Boost
61,3/6/19,33024000,9.813296103,12.7193,10.11539,10.08392,21840273183,9,adj2x,Glc,Nutrient Boost
62,3/6/19,33102666.67,9.463430032,12.9204,10.09423333,2.726683333,20431830469,9,adj2x,Glc,Nutrient Boost
2,3/7/19,20902666.67,4.712786105,4.87043,2.5787,7.241023333,1490371140,10,adj,0glc,
3,3/7/19,24284000,4.603577867,3.71667,4.631033333,7.172713333,1635240519,10,adj,0glc,
4,3/7/19,27398666.67,4.645154442,4.205453333,4.631033333,7.172713333,1890390183,10,adj,0glc,
8,3/7/19,26788000,8.215484522,5.92437,11.35326667,8.974763333,11649443043,10,adj,Glc,
12,3/7/19,58888000,8.230384688,5.97107,10.9599,12.71442,25450029410,10,adj,Glc,
14,3/7/19,56109333.33,8.237370605,5.92437,11.13303333,8.562553333,24311980338,10,adj,Glc,
19,3/7/19,23519000,4.841052341,4.65585,2.13066,0,1785849119,10,adj2x,0glc,
20,3/7/19,26027333.33,4.633685365,4.521566667,2.08125,9.70664,1734868845,10,adj2x,0glc,
21,3/7/19,29260000,4.743399396,4.116325,2.13066,5.20775,2096636984,10,adj2x,0glc,
22,3/7/19,54070000,8.3581423,11.24265,5.82093,9.72362,24157542876,10,adj2x,Glc,
24,3/7/19,52471200,8.345081174,10.27164,8.164968,7.96621,23912738883,10,adj2x,Glc,
27,3/7/19,50458666.67,8.617718656,11.39783333,5.809526667,12.65828,24613340582,10,adj2x,Glc,
36,3/7/19,22451333.33,4.907587804,3.587886667,5.329886667,2.147453333,1865944554,10,adj3x,0glc,
37,3/7/19,19506000,4.985542617,3.70208,5.7191,2.15585,1679053158,10,adj3x,0glc,
39,3/7/19,18879000,4.854490532,3.92726,2.13066,11.59765,1530694011,10,adj3x,0glc,
42,3/7/19,56533333.33,8.252936913,9.336406667,7.784533333,6.390153333,24588234487,10,adj3x,Glc,
46,3/7/19,57874000,8.036836278,11.4424,7.3451,7.31089,24391150396,10,adj3x,Glc,
51,3/7/19,56348000,8.321984656,7.379715,7.4848,11.37555,25100706419,10,adj3x,Glc,
60,3/7/19,50670666.67,8.433766387,10.64835667,6.809698333,8.324631667,24617342821,10,adj2x,Glc,Nutrient Boost
61,3/7/19,48728000,8.706862305,11.4875,5.92437,10.17328,25326827215,10,adj2x,Glc,Nutrient Boost
62,3/7/19,52606000,8.720110308,11.408975,6.722715,11.3407525,27969863939,10,adj2x,Glc,Nutrient Boost
1,3/8/19,30523000,4.494506991,3.40966,5.17539,2.10576,1919311660,11,adj,0glc,
2,3/8/19,31028666.67,4.641763135,3.4231,4.851976667,2.12236,2133766996,11,adj,0glc,
3,3/8/19,33113333.33,4.647516437,3.39638,5.28861,2.12236,2247690622,11,adj,0glc,
19,3/8/19,34036000,4.573752323,3.40982,5.371653333,2.10576,2213822620,11,adj2x,0glc,
20,3/8/19,29473500,4.781662061,5.14515,3.4500975,2.124435,2224088516,11,adj2x,0glc,
21,3/8/19,34923333.33,4.767878157,5.14664,3.5738,2.13066,2574468669,11,adj2x,0glc,
22,3/8/19,146131500,6.284408486,4.802455,11.7673625,8.4053725,32841047870,11,adj2x,Glc,
27,3/8/19,151977600,6.262388506,4.716438,11.68754,9.649088,34499219340,11,adj2x,Glc,
28,3/8/19,164404000,6.090344088,4.65585,10.3546,8.56937,33743428525,11,adj2x,Glc,
37,3/8/19,27232000,4.685515967,3.40966,5.42454,2.143255,2007852348,11,adj3x,0glc,
38,3/8/19,23640666.67,4.763355425,3.44998,5.855946667,2.139056667,1811864989,11,adj3x,0glc,
39,3/8/19,25686000,4.672060957,3.44998,6.137296667,2.139056667,1854979971,11,adj3x,0glc,
60,3/8/19,80860000,7.212348517,5.14515,11.213075,4.67924,27914534961,11,adj2x,Glc,Nutrient Boost
64,3/8/19,106834000,6.923613627,4.99607,12.02915,14.3141375,33497762311,11,adj2x,Glc,Nutrient Boost
65,3/8/19,126221333.3,6.622181021,4.986283333,11.17706667,2.11406,33925934300,11,adj2x,Glc,Nutrient Boost
1,3/9/19,33731333.33,4.752344727,3.504526667,6.01915,2.13066,2477856699,12,adj,0glc,
2,3/9/19,27882666.67,4.67755086,3.40966,5.85514,4.694093333,1944208873,12,adj,0glc,
3,3/9/19,35814000,4.614898007,3.463576667,5.832333333,2.13066,2402889678,12,adj,0glc,
18,3/9/19,40018666.67,4.668357537,3.4231,5.74164,2.10576,2794234658,12,adj2x,0glc,
19,3/9/19,34007000,4.774954223,3.42982,5.8730525,2.1058325,2566287970,12,adj2x,0glc,
21,3/9/19,39768000,4.819892055,3.560046667,5.786986667,2.13066,3025627565,12,adj2x,0glc,
22,3/9/19,188592000,6.039615674,4.85131,10.415825,2.681155,35873219502,12,adj2x,Glc,
27,3/9/19,189048000,5.888777187,4.757263333,10.17393333,2.803083333,33536218654,12,adj2x,Glc,
28,3/9/19,189576000,6.05390857,4.757263333,10.3749,14.41853333,36800297809,12,adj2x,Glc,
36,3/9/19,29580666.67,4.740334008,3.504526667,6.43275,2.12236,2268031970,12,adj3x,0glc,
37,3/9/19,31568000,4.799316803,3.57515,6.37608,2.1062675,2489794898,12,adj3x,0glc,
38,3/9/19,29741333.33,4.596819177,3.4231,6.332526667,7.249226667,2073153449,12,adj3x,0glc,
60,3/9/19,199632000,6.085546321,4.87043,11.80693333,7.131143333,40019221030,12,adj2x,Glc,Nutrient Boost
61,3/9/19,191632000,6.141862132,4.87043,11.53366667,2.492223333,40538490921,12,adj2x,Glc,Nutrient Boost
62,3/9/19,191532000,6.08316211,4.5744,12.0642,9.396095,40612681035,12,adj2x,Glc,Nutrient Boost
1,3/10/19,41584000,4.642134103,3.504526667,6.209863333,2.13066,2904631964,13,adj,0glc,
2,3/10/19,37752000,4.498799669,3.36982,6.018046667,4.568906667,2410421079,13,adj,0glc,
4,3/10/19,46576000,4.734536194,3.59493,6.173295,2.13066,3356503691,13,adj,0glc,
19,3/10/19,39288000,4.874969221,3.49077,6.173295,2.10576,3130878148,13,adj2x,0glc,
20,3/10/19,40992000,4.663562419,3.49093,5.94772,4.661086667,2817588932,13,adj2x,0glc,
21,3/10/19,45350000,4.881699615,3.63744,6.13701,2.13066,3586520812,13,adj2x,0glc,
22,3/10/19,213376000,6.128869234,4.90867,10.3343,2.67598,41358898621,13,adj2x,Glc,
27,3/10/19,205280000,6.016230901,4.82296,10.2945,2.056975,38482059331,13,adj2x,Glc,
28,3/10/19,202384000,5.997481949,4.85131,10.0546,8.278025,36640477717,13,adj2x,Glc,
36,3/10/19,33776000,4.79420015,3.61606,6.54699,2.10576,2646583683,13,adj3x,0glc,
37,3/10/19,35520000,4.949384832,3.74585,6.689593333,2.09804,3053289055,13,adj3x,0glc,
38,3/10/19,34794666.67,4.720855969,3.53319,6.534763333,4.631033333,2608706586,13,adj3x,0glc,
60,3/10/19,256685714.3,6.434688722,5.320848571,11.83812857,8.741045714,57220188125,13,adj2x,Glc,Nutrient Boost
61,3/10/19,223224000,6.437510187,5.28293,11.635125,8.407495,50339777971,13,adj2x,Glc,Nutrient Boost
62,3/10/19,170922666.7,6.398449198,5.02543,11.54646,10.79639333,39803378431,13,adj2x,Glc,Nutrient Boost
18,3/11/19,43792000,4.775768235,6.320145,3.470375,5.96336,3262260797,14,adj2x,0glc,
19,3/11/19,40002000,4.946984329,3.5738,6.47048,2.11821,3347676484,14,adj2x,0glc,
20,3/11/19,46050000,4.691519167,3.470375,6.13701,2.093455,3278647882,14,adj2x,0glc,
60,3/11/19,2.52E+08,6.682277759,5.619245,11.23915,7.42498,62667985933,14,adj2x,Glc,Nutrient Boost
61,3/11/19,207104000,6.689829429,5.58622,11.54345,2.528575,51704320578,14,adj2x,Glc,Nutrient Boost
62,3/11/19,233144000,6.573794851,5.32964,12.72015,6.21218,58137803106,14,adj2x,Glc,Nutrient Boost
18,3/12/19,52346000,4.641371135,4.84633,4.84633,2.0813,3746827846,15,adj2x,0glc,
19,3/12/19,45962000,4.935225056,3.59493,6.54699,2.13066,3910732832,15,adj2x,0glc,
20,3/12/19,53008000,4.687629073,6.20958,3.511405,2.11821,3829314264,15,adj2x,0glc,
60,3/12/19,237484000,7.014564769,5.99672,7.5471775,6.40139,64399866584,15,adj2x,Glc,Nutrient Boost
61,3/12/19,391032000,7.001032155,5.889755,11.5065,7.57623,1.08153E+11,15,adj2x,Glc,Nutrient Boost
62,3/12/19,334056000,6.95989609,5.619245,13.0988,14.0276,93904579069,15,adj2x,Glc,Nutrient Boost
18,3/13/19,48460000,4.738267455,3.49077,6.35729,2.13066,3647111372,16,adj2x,0glc,
19,3/13/19,42898000,4.965943899,5.20047,5.20047,2.143255,3697612071,16,adj2x,0glc,
20,3/13/19,44800000,4.660626764,3.55292,6.35729,2.11821,3157916273,16,adj2x,0glc,
60,3/13/19,329690666.7,7.236832641,6.307763333,13.1764,16.75623333,98215154760,16,adj2x,Glc,Nutrient Boost
61,3/13/19,299152000,7.209424958,6.173295,13.2537,9.084865,90168230824,16,adj2x,Glc,Nutrient Boost
62,3/13/19,340016000,7.116696312,5.959395,13.3316,9.00133,1.02007E+11,16,adj2x,Glc,Nutrient Boost
60,3/14/19,349360000,7.568340131,6.6244,15.24595,18.32245,1.13176E+11,17,adj2x,Glc,Nutrient Boost
61,3/14/19,389984000,7.294173492,6.39487,7.85001,11.00881,1.15647E+11,17,adj2x,Glc,Nutrient Boost
62,3/14/19,374320000,7.229957456,6.20958,7.95698,16.60465,1.12212E+11,17,adj2x,Glc,Nutrient Boost