element,Bristols,TAP+Kropat,ADJ.2xMgS,P14,M10,M14,M10.Ca ,NewMedia,D4,D7,M10(D10),Mean
N,2940,7500,20000,2883.284353,22717.9431,50299.98646,22717.9431,22500,34300.24425,27021.63828,22533.41709,27951.76654
Mg,300,400,1200,295.634102,2329.35704,5157.448766,2329.35704,2500,2981.835669,2658.628784,2326.556214,2655.673556
S,380.15,400,1200,489.2171897,3854.634825,8534.578974,3854.634825,4000,3850,3850,3850,3850
K,300,1810,9255,1838.711093,14487.55269,32077.01072,14487.55269,,19124.7301,16081.27735,14470.13281,16558.71342
P,1720,1130,4743,743.8873631,5861.229319,12977.39651,5861.229319,6000,8911.203457,7020.221625,5854.181759,7261.868947
Ca,170,340,170,10.18524237,80.25145227,177.6854069,160.5029045,80,516.9021153,150.2921016,80.15495767,249.1163915
Na,3370,115.6,20430,3313.284353,23147.9431,50729.98646,23147.9431,,34.30,27.02,22.53,27.95
Fe,2.00E-01,20,50,26.78285966,211.0272201,467.2371203,211.0272201,200,649.23,765.55,210.77,541.85
Mn,0.000061,6,7.5,1.823704452,14.36931252,31.81521418,14.36931252,15,13.33,12.05,14.35,13.24
Cu,0.08,2,2,1.499578099,11.81545965,26.16070732,11.81545965,12,22.93,57.25,11.80,30.66
Zn,0.00015,2.5,5,2.273589326,17.91404059,39.66362602,17.91404059,17.5,40.36,14.91,17.89,24.39
Se,,0.1,0.1,0.004265499,0.033608671,0.074413237,0.033608671,0.03,0.02,0.01,0.03,0.02
Mo,,0.2,0.285,0.007282345,0.057378978,0.127043271,0.057378978,0.057,0.32,0.13,0.06,0.17