ID,Day,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo,
DR01,2,391.5,1130,4332,1000,2646,68.2,3.9,97.1,4.0,10.1,0.01,0.04,
DR02,2,408.3,1084,4077,1000,2562,48.6,3.7,110.2,4.3,6.5,0.00,0.05,
DR03,2,422.4,1140,4221,1000,2625,46.7,3.8,86.8,4.0,5.6,0.00,0.03,
DR07,2,331.3,1026,4145,1000,2522,49.3,3.6,95.6,3.6,5.8,0.01,0.03,
DR08,2,431.6,1061,4033,1000,2596,44.0,4.1,165.6,9.3,7.4,0.02,0.05,
DR09,2,386.1,1064,4221,1000,2681,57.3,3.8,112.1,5.0,5.8,0.02,0.03,
DR13,2,389.2,1059,4190,1000,2620,53.1,4.0,241.1,5.3,6.1,0.00,0.03,
DR14,2,408.2,1074,4290,1000,2858,68.3,4.1,264.1,4.7,5.9,0.00,0.03,
DR15,2,412.3,903,3860,1000,2452,56.2,3.8,327.8,6.8,7.4,0.01,0.03,
DR19,2,384.6,1024,4112,1000,2782,51.5,4.1,131.8,4.1,6.7,0.00,0.03,
DR20,2,487.1,1009,4126,1000,2723,65.1,4.6,179.4,6.0,6.8,0.00,0.05,
DR21,2,476.2,966,3982,1000,2565,44.5,4.0,150.8,4.2,6.6,0.00,0.03,
DR04,4,409.9,951,3670,1000,2419,60.4,4.1,842.4,12.2,5.0,0.00,0.02,
DR05,4,464.1,951,3642,1000,2474,60.1,4.2,884.8,11.5,5.0,0.00,0.02,
DR06,4,460.2,975,3647,1000,2510,62.0,4.2,906.8,10.8,5.1,0.00,0.03,
DR10,4,436.9,896,2939,1000,2544,70.5,4.2,237.0,8.5,5.6,0.01,0.03,
DR11,4,388.3,912,3243,1000,2780,71.6,4.0,422.6,8.4,5.0,0.00,0.02,
DR12,4,439.8,932,3439,1000,2568,70.3,4.1,618.3,10.7,5.0,0.01,0.02,
DR16,4,497.4,972,3717,1000,2589,75.9,4.3,366.3,6.0,5.5,0.01,0.03,
DR17,4,429.8,914,3319,1000,2551,67.3,4.3,560.5,13.0,5.1,0.00,0.03,
DR18,4,410.0,961,3377,1000,2591,77.9,4.3,459.0,13.2,5.3,0.00,0.02,
DR22,4,445.1,849,2751,1000,2506,54.1,4.1,60.5,4.8,5.1,0.00,0.03,
DR23,4,460.2,903,2790,1000,2549,72.0,4.4,60.2,4.9,5.5,0.00,0.03,
DR24,4,428.6,858,2808,1000,2495,54.2,4.0,66.2,4.9,5.2,0.00,0.03,
DR04,7,232.6,644,2896,1000,2572,32.1,4.3,1054.8,24.0,5.1,0.00,0.03,
DR05,7,240.8,560,2858,1000,2399,28.5,4.0,1069.0,17.9,4.5,0.00,0.03,
DR06,7,243.4,597,2884,1000,2581,34.0,4.3,1048.5,19.2,5.1,0.00,0.03,
DR10,7,232.0,567,2614,1000,2639,43.7,4.5,760.0,16.7,5.5,0.00,0.03,
DR11,7,262.8,601,2760,1000,2665,35.4,4.5,840.2,18.8,5.3,0.01,0.03,
DR12,7,273.0,568,2713,1000,2636,36.7,4.3,812.3,18.3,5.2,0.00,0.03,
DR16,7,292.9,577,2790,1000,2711,47.8,4.8,716.0,21.0,5.6,0.00,0.04,
DR17,7,279.8,545,2879,1000,2869,47.3,4.5,1066.1,28.8,5.4,0.01,0.03,
DR18,7,271.5,521,2960,1000,2768,40.9,4.2,1091.2,28.3,7.2,0.00,0.03,
DR22,7,257.3,548,2273,1000,2867,36.3,4.9,318.1,11.9,6.0,0.00,0.04,
DR23,7,217.3,543,2220,1000,2844,65.6,4.9,247.8,9.6,5.8,0.00,0.03,
DR24,7,449.3,569,2093,1000,2351,36.9,5.1,40.0,11.1,6.1,0.00,0.04,
DR04,10,465.2,947,2830,1000,2254,30.2,4.7,1249.3,21.3,5.3,0.00,0.02,
DR05,10,369.7,812,2346,1000,2309,24.5,4.3,685.9,15.5,3.8,0.00,0.03,
DR06,10,470.2,846,2829,1000,2057,30.8,4.5,1138.7,16.2,5.1,0.00,0.02,
DR22,10,285.0,850,2262,1000,2152,33.3,4.5,589.4,11.1,4.4,0.00,0.02,
DR23,10,287.6,774,2170,1000,2151,29.7,4.2,516.6,8.7,3.9,0.00,0.03,
DR24,10,320.0,761,2214,1000,2144,31.5,4.2,561.6,10.3,4.1,0.00,0.07,