ID,Date,CellDensity,Mean,P1,P2,P3,TotVol,Day,pH,Buffer
buff02,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,control
buff14,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,HEPES
buff01,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,control
buff03,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,control
buff04,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,HEPES
buff05,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,HEPES
buff06,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,HEPES
buff07,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,TRIS
buff08,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,TRIS
buff09,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,TRIS
buff10,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,control
buff11,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,control
buff12,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,control
buff13,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,HEPES
buff15,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,HEPES
buff16,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,TRIS
buff17,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,TRIS
buff18,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,TRIS
buff01,5/29/19,348000,4.625904358,4.116325,8.591215,1.077925,32862449.95,1,7.5,control
buff02,5/29/19,299500,4.450074932,4.339395,8.550155,1.09067,24992308.25,1,7.5,control
buff03,5/29/19,302750,4.564082615,4.339395,5.09898,9.939845,27866738.93,1,7.5,control
buff04,5/29/19,258750,4.975035974,4.521255,2.346565,9.26039,26715512.93,1,7.5,HEPES
buff05,5/29/19,271500,4.857409908,4.288095,5.38022,9.48415,30201364.23,1,7.5,HEPES
buff06,5/29/19,269250,4.939797425,4.237985,2.33189,8.42927,27369722.19,1,7.5,HEPES
buff07,5/29/19,255750,4.892442636,4.3646,8.23625,12.090545,27481150.26,1,7.5,TRIS
buff08,5/29/19,311250,4.68290362,4.3133,2.37104,8.80165,27438788.63,1,7.5,TRIS
buff09,5/29/19,182250,4.739915047,3.274625,3.273265,4.31489,16795954.94,1,7.5,TRIS
buff10,5/29/19,263000,4.807182504,4.41712,5.768755,4.26447,28790504.5,1,8,control
buff11,5/29/19,256000,4.878776892,4.54767,5.733765,6.05228,23489654.85,1,8,control
buff12,5/29/19,266000,4.98797441,4.54767,9.48329,1.270745,25937273.15,1,8,control
buff13,5/29/19,181000,5.17620028,4.574715,9.481325,1.379725,21415017.95,1,8,HEPES
buff14,5/29/19,224000,4.945128772,4.46811,2.18134,8.23342,22250491.69,1,8,HEPES
buff15,5/29/19,247500,5.041833019,4.3646,9.207555,2.424925,25237340.27,1,8,HEPES
buff16,5/29/19,222750,5.085382844,4.65585,8.688,0,23854675.02,1,8,TRIS
buff17,5/29/19,230000,5.18363011,4.68321,5.719265,4.630195,27159509.16,1,8,TRIS
buff18,5/29/19,233500,4.813660783,4.31449,5.31492,12.41101,21649436.2,1,8,TRIS
buff01,5/30/19,939000,4.615462141,4.043335,8.137765,7.85815,94072498.79,2,7.5,control
buff02,5/30/19,567000,5.253091243,4.797283333,2.231123333,4.892196667,65059267.88,2,7.5,control
buff03,5/30/19,440000,5.133980114,4.3643,14.1386,0,47132782.5,2,7.5,control
buff04,5/30/19,663500,4.799327455,3.13552,6.6244,10.5415,78686026.76,2,7.5,HEPES
buff05,5/30/19,1006000,4.243288956,4.0671,6.82184,18.5276,103261921.3,2,7.5,HEPES
buff06,5/30/19,985000,4.238889117,4.16385,6.66333,10.6632,106325203.3,2,7.5,HEPES
buff07,5/30/19,597500,5.10190909,5.825395,7.368905,2.48672,58694419.8,2,7.5,TRIS
buff08,5/30/19,572000,5.187253182,5.20581,0,0,60544022.23,2,7.5,TRIS
buff09,5/30/19,614000,5.031283843,4.188465,4.759335,6.60163,60465787.5,2,7.5,TRIS
buff10,5/30/19,285000,5.854825816,6.54699,2.317385,5.52295,48058277.93,2,8,control
buff11,5/30/19,529500,5.544720695,5.05584,2.38341,7.23745,65432778.38,2,8,control
buff12,5/30/19,532500,5.60587179,5.176105,2.246435,5.99665,68743493.94,2,8,control
buff13,5/30/19,233500,6.174414566,6.625315,1.18421,1.9863,44479950.66,2,8,HEPES
buff14,5/30/19,268000,5.799755075,6.58547,14.4749,0,46978651.28,2,8,HEPES
buff15,5/30/19,615000,5.336129642,4.628805,3.533345,1.226715,69721833.17,2,8,HEPES
buff16,5/30/19,531500,5.692643639,5.48944,7.820155,2.723685,71540015.78,2,8,TRIS
buff17,5/30/19,329000,5.809562658,7.857425,9.12012,2.299875,52629302.57,2,8,TRIS
buff18,5/30/19,557000,5.344149892,5.45642,0,0,65282684.81,2,8,TRIS
buff01,5/31/19,1104000,5.564177855,5.586605,9.004805,6.5109,143597089.6,3,7.5,control
buff02,5/31/19,880500,6.210596995,5.2985,2.575975,1.463245,145616598.2,3,7.5,control
buff03,5/31/19,1026166.667,5.834027884,5.33185,4.34253,5.295206667,142779081.4,3,7.5,control
buff04,5/31/19,723000,5.52435043,4.263483333,6.28813,4.50578,90648317.07,3,7.5,HEPES
buff05,5/31/19,1164666.667,5.510065398,4.90935,7.705116667,2.22464,133600293.3,3,7.5,HEPES
buff06,5/31/19,1167250,5.254925894,4.21337,7.948685,8.85702,125763463.8,3,7.5,HEPES
buff07,5/31/19,800250,6.029535829,5.586605,2.599015,1.06533,115141364.4,3,7.5,TRIS
buff08,5/31/19,838250,5.810746305,6.368265,6.27593,2.55093,114362110.5,3,7.5,TRIS
buff09,5/31/19,838000,5.815077647,5.2985,5.415415,1.06533,110386108.1,3,7.5,TRIS
buff10,5/31/19,243000,6.151899465,7.40689,18.3111,0,47441927.34,3,8,control
buff11,5/31/19,873000,6.2504984,4.99607,7.328425,1.270745,146021328.4,3,8,control
buff12,5/31/19,967250,6.125473376,4.628805,7.28058,1.226715,157798734.6,3,8,control
buff13,5/31/19,232500,6.120645484,8.33077,2.31339,4.26289,47570457.55,3,8,HEPES
buff14,5/31/19,1091250,5.83022378,5.11491,9.743885,1.316355,145789831.3,3,8,HEPES
buff15,5/31/19,975500,5.883889215,6.589565,4.46935,2.48261,144236688.1,3,8,HEPES
buff16,5/31/19,847500,6.268007499,5.32964,8.23342,2.10576,150956651,3,8,TRIS
buff17,5/31/19,872500,5.599696281,5.26736,2.05684,8.23342,128145165.8,3,8,TRIS
buff18,5/31/19,891500,5.652419035,5.26736,7.94814,16.6677,143159660.5,3,8,TRIS
buff01,6/1/19,3447250,4.78766022,3.5738,7.28314,7.319425,324421332.8,4,7.5,control
buff02,6/1/19,2818000,4.959338865,3.65882,7.607625,7.557205,309432336.1,4,7.5,control
buff03,6/1/19,2956000,4.953152955,3.59493,7.247245,7.38161,306596595.8,4,7.5,control
buff04,6/1/19,2530750,4.801632844,3.70208,7.2215,7.356135,234131440.2,4,7.5,HEPES
buff05,6/1/19,3044750,4.917487872,3.65882,7.1997,7.152715,281767629.5,4,7.5,HEPES
buff06,6/1/19,3465250,4.806780459,3.511405,6.92484,6.92484,296787966.7,4,7.5,HEPES
buff07,6/1/19,1730500,5.850827111,4.82296,7.94814,2.11821,253137510.7,4,7.5,TRIS
buff08,6/1/19,1905250,5.699711079,4.65585,7.7181,2.679955,254298479.9,4,7.5,TRIS
buff09,6/1/19,2053833.333,5.702359538,4.5744,7.553543333,2.674336667,271309964.7,4,7.5,TRIS
buff10,6/1/19,390750,5.760751561,8.531295,3.996505,4.957955,65615808.53,4,8,control
buff11,6/1/19,2937250,4.985303823,3.723965,6.43245,8.6808,319214366.1,4,8,control
buff12,6/1/19,3552250,4.893086411,3.70208,6.283,8.73182,366299280.8,4,8,control
buff13,6/1/19,425500,5.054455687,2.0328,7.23479,9.26039,56748715.82,4,8,HEPES
buff14,6/1/19,2612000,5.342585533,3.83495,7.35272,5.185215,306596471.7,4,8,HEPES
buff15,6/1/19,2789000,5.115294558,3.68045,7.41968,7.36926,314016112.5,4,8,HEPES
buff16,6/1/19,1886166.667,5.906496437,4.53876,7.82502,2.483233333,298204303.7,4,8,TRIS
buff17,6/1/19,1667750,6.002534781,4.521255,7.9017,2.48244,277462182.1,4,8,TRIS
buff18,6/1/19,2071000,5.663136834,4.21308,7.538775,2.41059,278320095,4,8,TRIS
buff01,6/2/19,5827000,4.387076055,3.702335,8.261305,4.576085,403361218.7,5,7.5,control
buff02,6/2/19,6295000,4.292121908,3.31098,7.8558,5.78091,431968907.5,5,7.5,control
buff03,6/2/19,6040000,4.242489521,3.31098,7.538775,4.740335,379677468.3,5,7.5,control
buff04,6/2/19,5031333.333,4.615869659,3.857983333,5.536526667,5.770886667,388580211.3,5,7.5,HEPES
buff05,6/2/19,5991000,4.468904005,3.532285,7.49447,2.056975,411056569.9,5,7.5,HEPES
buff06,6/2/19,5900000,4.401185293,3.812545,7.19252,0,378950330.2,5,7.5,HEPES
buff07,6/2/19,4254000,4.968281503,3.83495,6.767785,8.0320975,423380469,5,7.5,TRIS
buff08,6/2/19,3680666.667,5.034177708,3.805076667,5.832333333,8.697806667,374422492.6,5,7.5,TRIS
buff09,6/2/19,3306000,5.080248712,3.996085,8.529525,3.969315,334085434.2,5,7.5,TRIS
buff10,6/2/19,606000,4.86574198,3.92618,6.13701,8.23342,71149103.19,5,8,control
buff11,6/2/19,5722000,4.408709432,3.450215,8.531875,8.531875,406650092.6,5,8,control
buff12,6/2/19,7306000,4.45508873,3.68197,9.425275,7.58308,535921483.2,5,8,control
buff13,6/2/19,1226000,4.809085171,3.8803,8.04211,13.3316,146143824.1,5,8,HEPES
buff14,6/2/19,5524666.667,4.943354001,4.450706667,7.82466,0,538650293.1,5,8,HEPES
buff15,6/2/19,6658000,4.778369969,4.237985,7.62791,12.2786,603364881.7,5,8,HEPES
buff16,6/2/19,4012000,5.501124195,3.8803,5.7191,9.04585,546251409.1,5,8,TRIS
buff17,6/2/19,3764000,5.562045374,4.74361,6.54767,7.363125,529830608.2,5,8,TRIS
buff18,6/2/19,4225333.333,5.391411511,3.957126667,8.396436667,2.147453333,518698006.2,5,8,TRIS
buff01,6/3/19,15567000,4.184655193,3.29152,7.995125,5.3316,914458509.3,6,7.5,control
buff02,6/3/19,14702000,4.192775557,3.470375,8.38002,6.48687,873286433.8,6,7.5,control
buff03,6/3/19,14431000,4.050402425,3.31098,7.995125,5.3316,759990214.9,6,7.5,control
buff04,6/3/19,10498000,4.45681983,3.49077,7.76346,0,705057338.7,6,7.5,HEPES
buff05,6/3/19,12880000,4.27992685,3.40966,7.583605,2.143255,747586166.8,6,7.5,HEPES
buff06,6/3/19,13465000,4.278509485,3.35013,7.36361,2.13066,787287264.4,6,7.5,HEPES
buff07,6/3/19,9148000,4.657522297,3.55587,7.67327,2.093455,735414623.3,6,7.5,TRIS
buff08,6/3/19,9946000,4.542479318,3.38974,7.45068,2.08115,752930493.4,6,7.5,TRIS
buff09,6/3/19,9579000,4.540799627,3.37005,7.67274,2.11821,724620384,6,7.5,TRIS
buff11,6/3/19,14113000,4.267011401,3.44998,8.33077,6.54912,865101246.5,6,8,control
buff12,6/3/19,15473000,4.37443759,3.55292,8.38002,2.15585,999695635.4,6,8,control
buff14,6/3/19,13737000,4.296617941,3.38974,7.94814,6.54912,842675463,6,8,HEPES
buff15,6/3/19,14302000,4.390836298,3.53204,8.089655,2.18134,938334589.4,6,8,HEPES
buff16,6/3/19,9020000,5.134530671,4.08313,7.810176667,8.669126667,1009893919,6,8,TRIS
buff17,6/3/19,7677000,5.073953264,3.63744,6.58547,9.64948,877602974.3,6,8,TRIS
buff18,6/3/19,8345000,4.785106477,3.68045,7.141025,10.29246,753771711,6,8,TRIS
buff01,6/4/19,17248000,4.343979718,3.53204,8.1372,2.093455,1072745794,7,7.5,control
buff02,6/4/19,17213000,4.329770711,3.70208,8.479105,1.05288,1012776704,7,7.5,control
buff03,6/4/19,20733000,4.180003657,3.49077,8.04267,2.105905,1122288726,7,7.5,control
buff04,6/4/19,13290000,4.606260053,3.68045,2.10576,6.1393,932060903.3,7,7.5,HEPES
buff05,6/4/19,16874000,4.389167726,3.61606,2.13066,8.63295,1002481896,7,7.5,HEPES
buff06,6/4/19,17038000,4.401831634,3.5738,2.13066,9.7098,1012919447,7,7.5,HEPES
buff07,6/4/19,11903000,4.721188197,3.68045,8.18531,2.13066,954914320.1,7,7.5,TRIS
buff08,6/4/19,12505000,4.624551568,3.61606,7.995125,2.143255,960968895,7,7.5,TRIS
buff09,6/4/19,12793000,4.634919371,3.61606,7.94814,2.13066,988070306.3,7,7.5,TRIS
buff11,6/4/19,17980000,4.329736489,3.61606,8.42927,2.10576,1089681317,7,8,control
buff12,6/4/19,18760000,4.482888349,3.723965,8.479105,6.600875,1251135350,7,8,control
buff14,6/4/19,17563000,4.386916023,3.59493,5.92437,2.10576,1079691645,7,8,HEPES
buff15,6/4/19,17631000,4.476552933,3.74585,8.18531,2.05684,1138173541,7,8,HEPES
buff16,6/4/19,12041000,5.04967711,4.091145,7.539815,2.143255,1239984184,7,8,TRIS
buff17,6/4/19,11288000,4.921262616,3.767995,7.90497,2.143255,1130725596,7,8,TRIS
buff18,6/4/19,11061000,4.776556258,3.723965,7.631075,2.11821,968588558.3,7,8,TRIS