oldID,Date,CellDensity,TotVol,LiqVol,Day,Media,Glc,ID,PelletVol,TotalCell
RG01,3/30/19,9728666.667,458963749.4,10,4,ADJ.2xMgS,0Glc,GR01-1,4589637494,97286666.67
RG02,3/30/19,6878500,439817725.6,10,4,ADJ.2xMgS,0Glc,GR02-1,4398177256,68785000
RG03,3/30/19,6358000,450065207.6,10,4,ADJ.2xMgS,0Glc,GR03-1,4500652076,63580000
RG07,3/30/19,3771333.333,334936533.2,10,4,P14,0Glc,GR07-1,3349365332,37713333.33
RG08,3/30/19,4448666.667,408353761.5,10,4,P14,0Glc,GR08-1,4083537615,44486666.67
RG09,3/30/19,5170000,402315109.2,10,4,P14,0Glc,GR09-1,4023151092,51700000
RG13,3/30/19,4171500,419753935,10,4,M10,0Glc,GR13-1,4197539350,41715000
RG14,3/30/19,4106000,246148733.5,10,4,M10,0Glc,GR14-1,2461487335,41060000
RG15,3/30/19,4807500,414054577.5,10,4,M10,0Glc,GR15-1,4140545775,48075000
RG19,3/30/19,3177333.333,395818961,10,4,M10.Ca,0Glc,GR19-1,3958189610,31773333.33
RG20,3/30/19,4224000,435413564.5,10,4,M10.Ca,0Glc,GR20-1,4354135645,42240000
RG21,3/30/19,5572666.667,493344547.4,10,4,M10.Ca,0Glc,GR21-1,4933445474,55726666.67
RG28,3/30/19,1812666.667,293008290.4,10,4,M14,0Glc,GR29-1,2930082904,18126666.67
RG29,3/30/19,1642000,261129207.7,10,4,M14,0Glc,GR30-1,2611292077,16420000
RG30,3/30/19,1558000,255009220.7,10,4,M14,0Glc,GR31-1,2550092207,15580000
RG01,4/2/19,14877333.33,1116884596,5,7,ADJ.2xMgS,0Glc,RG01-2,5584422980,74386666.65
RG02,4/2/19,16063333.33,1248287996,5,7,ADJ.2xMgS,0Glc,RG02-2,6241439980,80316666.65
RG03,4/2/19,14679333.33,1184157504,5,7,ADJ.2xMgS,0Glc,RG03-2,5920787520,73396666.65
RG07,4/2/19,25169333.33,1054283454,5,7,P14,0Glc,RG07-2,5271417270,125846666.7
RG08,4/2/19,27539333.33,1125971052,5,7,P14,0Glc,RG08-2,5629855260,137696666.7
RG09,4/2/19,25924666.67,1106025978,5,7,P14,0Glc,RG09-2,5530129890,129623333.4
RG13,4/2/19,15048000,1059777908,5,7,M10,0Glc,RG13-2,5298889540,75240000
RG14,4/2/19,17510000,1309450419,5,7,M10,0Glc,RG14-2,6547252095,87550000
RG15,4/2/19,14410000,1100145797,5,7,M10,0Glc,RG15-2,5500728985,72050000
RG19,4/2/19,14020666.67,1114463254,5,7,M10.Ca,0Glc,RG19-2,5572316270,70103333.35
RG20,4/2/19,14159000,1116145123,5,7,M10.Ca,0Glc,RG20-2,5580725615,70795000
RG21,4/2/19,13620666.67,1214269496,5,7,M10.Ca,0Glc,RG21-2,6071347480,68103333.35
RG25,4/2/19,7804666.667,939795439.2,5,7,M14,0Glc,RG25-2,4698977196,39023333.34
RG26,4/2/19,7082666.667,859953284.4,5,7,M14,0Glc,RG26-2,4299766422,35413333.34
RG27,4/2/19,9165333.333,1154458955,5,7,M14,0Glc,RG27-2,5772294775,45826666.67
RG31,4/2/19,30730666.67,12317092357,2,7,ADJ.2xMgS,Glc,RG31-2,24634184714,61461333.34
RG32,4/2/19,27656666.67,12661261039,2,7,ADJ.2xMgS,Glc,RG32-2,25322522078,55313333.34
RG33,4/2/19,25380000,12575215696,2,7,ADJ.2xMgS,Glc,RG33-2,25150431392,50760000
RG34,4/2/19,19756666.67,4414911796,2,7,P14,Glc,RG34-2,8829823592,39513333.34
RG35,4/2/19,22832000,5009712049,2,7,P14,Glc,RG35-2,10019424098,45664000
RG36,4/2/19,25103333.33,5083001424,2,7,P14,Glc,RG36-2,10166002848,50206666.66
RG37,4/2/19,27828666.67,10342591200,2,7,M10,Glc,RG37-2,20685182400,55657333.34
RG38,4/2/19,31036000,12128241501,2,7,M10,Glc,RG38-2,24256483002,62072000
RG39,4/2/19,28842666.67,11807692737,2,7,M10,Glc,RG39-2,23615385474,57685333.34
RG40,4/2/19,32019333.33,13158587714,2,7,M10.Ca,Glc,RG40-2,26317175428,64038666.66
RG41,4/2/19,33624666.67,13391322699,2,7,M10.Ca,Glc,RG41-2,26782645398,67249333.34
RG42,4/2/19,31236000,11929840227,2,7,M10.Ca,Glc,RG42-2,23859680454,62472000
RG43,4/2/19,16731500,6788371846,2,7,M14,Glc,RG43-2,13576743692,33463000
RG44,4/2/19,16236666.67,6979595026,2,7,M14,Glc,RG44-2,13959190052,32473333.34
RG45,4/2/19,16291000,6821867648,2,7,M14,Glc,RG45-2,13643735296,32582000
,,,,,0,P14,0Glc,Fresh1,,
,,,,,0,ADJ.2xMgS,0Glc,Fresh2,,
,,,,,0,M10,0Glc,Fresh3,,
,,,,,0,M10.Ca,0Glc,Fresh4,,
,,,,,0,M14,0Glc,Fresh5,,